ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
938,Agriculture & Allied,Science (PCM),B.Tech Aerospace,10+2 + JEE,Prompt Engineer (Agriculture),11.3,Stable
939,Management,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Supply Chain Manager (Management),20.2,Emerging
940,AI & ML,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Drone Pilot (AI),5.5,Growing
941,Green Energy,Science (PCB),B.Tech Aerospace,10+2 + JEE,Supply Chain Manager (Green),4.1,High
942,Engineering,Any Stream,B.Sc Data Science,10+2 + CLAT,Robotics Engineer (Engineering),10,High
943,E-Commerce,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Quantum Computing Researcher (E-Commerce),11.7,Growing
944,Government & Defense,Any Stream,BDS,10+2 + NEET,Sustainability Consultant (Government),24.4,Stable
945,FinTech,Commerce,BHM,Bachelor's + UPSC,Tax Consultant (FinTech),6.2,Growing
946,Media & Design,Commerce,BA Psychology,10+2 + Diploma,Drone Pilot (Media),7.1,Evergreen
947,Arts & Humanities,Arts,BA Psychology,10+2 + Diploma,Prompt Engineer (Arts),17.6,Growing
948,Government & Defense,Science (PCB),BA Psychology,10+2 + Bachelor's,Marketing Manager (Government),16.6,High
949,Agriculture & Allied,Science (PCM/CS),LLB,Bachelor's + Cert,Sustainability Consultant (Agriculture),17.9,Stable
950,Space Tech,Any Stream,B.Com,10+2 + CLAT,Supply Chain Manager (Space),5.3,Emerging
951,Healthcare,Science (PCB),B.Com,Bachelor's + Cert,Ayurvedic Doctor (Healthcare),22.1,High
952,Space Tech,Arts,B.Tech CSE,10+2 + JEE,Supply Chain Manager (Space),9.4,Stable
953,Finance & Commerce,Science (PCB),LLB,10+2 + CLAT,Forensic Accountant (Finance),17.7,Growing
954,FinTech,Arts,B.Tech Civil,10+2 + JEE,ESG Analyst (FinTech),22.1,High
955,Law,Science (PCM),LLB,10+2 + CLAT,HR Manager (Law),16.4,Evergreen
956,E-Commerce,Commerce,B.Com,10+2 + CLAT,Sustainability Consultant (E-Commerce),8.2,High
957,Engineering,Commerce,B.Sc Data Science,Bachelor's + UPSC,Mechanical Engineer (Engineering),16.3,Growing
958,Healthcare,Any Stream,B.Tech CSE,10+2 + JEE,Pharmacist (Healthcare),22,Growing
959,Arts & Humanities,Commerce,B.Com,10+2 + CLAT,Quantum Computing Researcher (Arts),11.4,Growing
960,Space Tech,Arts,B.Sc Data Science,10+2 + Diploma,Startup Founder (Space),19.8,Growing
961,Agriculture & Allied,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Supply Chain Manager (Agriculture),3.2,Evergreen
962,AI & ML,Science (PCM),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Drone Pilot (AI),11.4,Emerging
963,Hospitality & Travel,Any Stream,BHM,10+2 + Bachelor's,Marketing Manager (Hospitality),16.6,Evergreen
964,Cybersecurity,Any Stream,LLB,10+2 + Bachelor's,Quantum Computing Researcher (Cybersecurity),14.9,Growing
965,Finance & Commerce,Any Stream,MBBS,10+2 + NEET,Investment Banker (Finance),24.5,Growing
966,Government & Defense,Commerce,MBBS,10+2 + NEET,Metaverse Designer (Government),7.1,High
967,Media & Design,Arts,B.Pharma,10+2 + NEET,Drone Pilot (Media),12.3,High
968,Agriculture & Allied,Arts,BDS,10+2 + NEET,Metaverse Designer (Agriculture),21,Emerging
969,Science & Research,Science (PCB),B.Tech Aerospace,10+2 + JEE,Quantum Computing Researcher (Science),12,Evergreen
970,Media & Design,Science (PCM),B.Pharma,10+2 + NEET,Supply Chain Manager (Media),9,Stable
971,Finance & Commerce,Commerce,B.Com,10+2 + Diploma,Investment Banker (Finance),5.1,Emerging
972,Media & Design,Science (PCM),BHM,10+2 + Diploma,Marketing Manager (Media),6.7,Stable
973,Agriculture & Allied,Science (PCB),B.Tech CSE,10+2 + JEE,Metaverse Designer (Agriculture),5.1,Evergreen
974,AI & ML,Science (PCM/CS),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,AI Engineer (AI),15,Growing
975,Science & Research,Any Stream,B.Com,10+2 + CLAT,Sustainability Consultant (Science),24.7,Stable
976,Law,Arts,BDS,10+2 + NEET,Operations Manager (Law),12.4,High
977,Gig Economy,Science (PCM/CS),LLB,10+2 + Diploma,Drone Pilot (Gig),21,Emerging
978,Arts & Humanities,Science (PCB),BHM,Bachelor's + Cert,Metaverse Designer (Arts),4.7,Evergreen
979,IT & Technology,Commerce,B.Com,10+2 + Bachelor's,Prompt Engineer (IT),8,High
980,Law,Commerce,LLB,10+2 + CLAT,HR Manager (Law),4.5,Evergreen
981,Agriculture & Allied,Science (PCM/CS),BA Psychology,Bachelor's + Cert,Supply Chain Manager (Agriculture),18,Emerging
982,Engineering,Any Stream,LLB,Bachelor's + UPSC,Mechanical Engineer (Engineering),17.6,High
983,Engineering,Science (PCB),LLB,10+2 + Diploma,EV Designer (Engineering),4.3,Emerging
984,Finance & Commerce,Arts,B.Com,10+2 + CLAT,Actuary (Finance),6.8,Growing
985,Space Tech,Commerce,B.Tech Aerospace,10+2 + JEE,Drone Pilot (Space),13.4,Evergreen
986,E-Commerce,Any Stream,LLB,10+2 + CLAT,Startup Founder (E-Commerce),8.4,Evergreen
987,Cybersecurity,Any Stream,B.Com,Bachelor's + UPSC,Data Scientist (Cybersecurity),16.4,Emerging
988,Arts & Humanities,Commerce,MBBS,10+2 + NEET,Startup Founder (Arts),8,Evergreen
989,Healthcare,Science (PCM),B.Sc Data Science,10+2 + CLAT,Nurse (Healthcare),8.3,High
990,Government & Defense,Science (PCM/CS),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (Government),23.7,Growing
991,Arts & Humanities,Science (PCM/CS),LLB,Bachelor's + UPSC,Prompt Engineer (Arts),21.7,Growing
992,Agriculture & Allied,Science (PCM),BDS,10+2 + NEET,Prompt Engineer (Agriculture),16.8,Growing
993,Green Energy,Any Stream,LLB,10+2 + Bachelor's,Metaverse Designer (Green),21,Evergreen
994,Engineering,Science (PCB),B.Sc Data Science,10+2 + Bachelor's,Mechanical Engineer (Engineering),10.6,Emerging
995,FinTech,Science (PCB),B.Tech CSE,10+2 + JEE,Investment Banker (FinTech),13.5,High
996,Finance & Commerce,Any Stream,B.Tech Aerospace,10+2 + JEE,Forensic Accountant (Finance),19.8,Evergreen
997,Cybersecurity,Science (PCM/CS),B.Com,10+2 + Bachelor's,Prompt Engineer (Cybersecurity),17.7,Growing
998,Education,Arts,MBBS,10+2 + NEET,Startup Founder (Education),8.1,Evergreen
999,Agriculture & Allied,Commerce,BA Psychology,10+2 + CLAT,Startup Founder (Agriculture),9.1,Evergreen
1000,Government & Defense,Any Stream,B.Sc Nursing,10+2 + NEET,Metaverse Designer (Government),11.5,Evergreen
